,gene,Nmean,NSD,Cmean,CSD,methelation
10899,PFAS---Cluster1,0.012140028986255064,0.001033554208192475,0.0204763329245614,0.021041771082675884,Up
10900,PFAS---Cluster2,0.01962318072816934,0.004871818778007667,0.022486041951554042,0.005635849890814802,Up
10901,PFDN1---Cluster1,0.017546197428062474,0.001408500685343386,0.024286914497987533,0.007132315481773064,Up
10902,PFDN2---Cluster1,0.4508286129936317,0.05856902271324368,0.3917043431932325,0.17503373897522995,Down
10903,PFDN2---Cluster2,0.01417508032828195,0.0018344384881172808,0.014401562559757409,0.006947368371217978,Up
10904,PFDN4,0.01987071326885699,0.0017093257584229055,0.018337762987041824,0.009482745976412894,Down
10905,PFDN5,0.07343711426338301,0.014487210521005062,0.06789406792438425,0.042552087004680786,Down
10906,PFDN6,0.019788993352999832,0.002051502684774143,0.022756877335758947,0.005603611846452084,Up
10907,PFKFB1---Cluster1,0.7486989301131226,0.017717520692415396,0.7106104653737547,0.12591602158922002,Down
10908,PFKFB2---Cluster1,0.009315988344976284,0.0007742208334260379,0.01599623245570098,0.0159469784267779,Up
10909,PFKFB2---Cluster2,0.02783509733973574,0.0038378849220457203,0.030909845828213368,0.015696545620350673,Up
10910,PFKFB3,0.006085584084155432,0.0008963806590632767,0.009252779255956129,0.006108458137844735,Up
10911,PFKFB4---Cluster1,0.007067578164829214,0.0010395491175857756,0.012085888636429684,0.003715227126795655,Up
10912,PFKFB4---Cluster2,0.006036178268500727,0.000580267029615543,0.009904194349948223,0.0021832272210095803,Up
10913,PFKL---Cluster1,0.008290603419456331,0.0011259432640494493,0.010991489248435998,0.0032828924044390998,Up
10914,PFKL---Cluster2,0.013066195333052241,0.004913801112553718,0.02178720092617564,0.025299698659848026,Up
10915,PFKM,0.6637511598170285,0.10213203234556492,0.3240385585237986,0.2043669222679736,Down
10916,PFKP---Cluster1,0.021246972375839942,0.0044207921481041424,0.020928905619593315,0.009855349524201713,Down
10917,PFKP---Cluster2,0.0054814678627631355,0.0009872953062323264,0.012057452630316202,0.009943967149679026,Up
10918,PFN1---Cluster1,0.07639667653129646,0.01826256270806944,0.15581785311308313,0.05195281034535728,Up
10919,PFN1---Cluster2,0.022249010151190508,0.003282626797234925,0.03820486649106792,0.008056042001631876,Up
10920,PFN2,0.020956644866838937,0.0020371040194411753,0.024349486660727167,0.018442366204105172,Up
10921,PGA5,0.9765492534855632,0.00945343878488558,0.9411614804896148,0.0686916986352893,Down
10922,PGAM1---Cluster1,0.03281857759232674,0.0038883788380714352,0.03997081826387528,0.020327172291390243,Up
10923,PGAM1---Cluster2,0.015573875644117512,0.0038084481856996977,0.030798152252074933,0.012034135215860131,Up
10924,PGAM2---Cluster1,0.2313752152216211,0.07174653904008405,0.2466613667254855,0.1926743606266592,Up
10925,PGAM5---Cluster1,0.02541878846154313,0.0020001153290898762,0.03817627262338121,0.05235385473897332,Up
10926,PGAM5---Cluster2,0.015217210160378547,0.0019311466518076288,0.015443232010936525,0.007241809852709686,Up
10927,PGAP1,0.010416334753511608,0.0016786547626825405,0.012404893729393908,0.005261698502254875,Up
10928,PGAP2---Cluster1,0.006829081439994432,0.0009300828868321056,0.011854002292173548,0.005386388584843863,Up
10929,PGAP2---Cluster2,0.006168760751617546,0.0012402294897867487,0.009561143498961144,0.0034754284763678913,Up
10930,PGAP2---Cluster3,0.1986041903997955,0.05619747287315613,0.19004011654060046,0.19009111962970174,Down
10931,PGAP2---Cluster4,0.9515388673534272,0.010258334707647884,0.9401322571063956,0.05226765513474956,Down
10932,PGAP3---Cluster1,0.054977580809370916,0.013381131205587976,0.06467491263543336,0.026429550661472588,Up
10933,PGAP3---Cluster2,0.012596234652522149,0.002401449636402343,0.024710511562608638,0.01616170735549015,Up
10934,PGAP3---Cluster3,0.0126894455429831,0.0011577590433506644,0.020050175200137563,0.005530025068225943,Up
10935,PGBD1,0.016697937212082525,0.002158086660821932,0.030262266237836958,0.04037715192003418,Up
10936,PGBD4---Cluster1,0.04191814682378742,0.016617819994086198,0.05126720249288611,0.025651882615397,Up
10937,PGBD4---Cluster2,0.9360959501494509,0.012153979654834937,0.690946922377525,0.2645791559671739,Down
10938,PGBD5,0.9656983770900088,0.007716194450496397,0.9032005906309772,0.12752479375697026,Down
10939,PGC,0.9126793163160796,0.021174886886201904,0.90082934874809,0.06524460084592006,Down
10940,PGCP,0.5405438271249949,0.07800867068724117,0.28451095631822865,0.27693157215293585,Down
10941,PGD---Cluster1,0.013064355548835187,0.001311115661543944,0.01579119494992184,0.005868911293384824,Up
10942,PGF---Cluster1,0.034918015477478984,0.012436028459899582,0.050348280531497834,0.037604577812245785,Up
