['RAB33A' 0.00011834839626029801]
['TNFAIP2' 0.00011833674596079574]
['GANAB' 0.00011830164898828644]
['VEGFB' 0.00011823794709662701]
['MAK' 0.00011820503850792067]
['SALL1' 0.00011819166651947173]
['DDHD2' 0.0001181389184121176]
['COX10' 0.00011801641054981927]
['IFNA21' 0.00011800997156465584]
['MICAL1' 0.00011794094877473162]
['AP1S2' 0.00011788184303632707]
['SLC35B2' 0.00011781036914253324]
['SLC2A13' 0.00011779297103612012]
['C6orf130' 0.00011760938255856431]
['IGKV1-5' 0.00011759686207861617]
['MARCH3' 0.00011752969812267723]
['RAB4B' 0.0001174795986413998]
['C17orf65' 0.00011741009533270475]
['CXorf59' 0.00011731740058494339]
['ANKFY1' 0.00011731270120430437]
['EGFL6' 0.00011723616366005923]
['M-RIP' 0.00011713614558873447]
['CCNG2' 0.00011713059263811812]
['CCR7' 0.00011700573719244527]
['UBE3C' 0.00011696385578995168]
['PYROXD1' 0.00011681742484285133]
['ZNF182' 0.00011667400228134]
['TAGAP' 0.000116613159527352]
['C4BPA' 0.00011643849604949855]
['GDI1' 0.00011640587680687122]
['ERMP1' 0.00011636752727761063]
['GBP7' 0.00011631478598346573]
['ROR2' 0.00011611428685620838]
['LRIG1' 0.00011599887421298211]
['CYP2E1' 0.00011598685924393738]
['DEAF1' 0.00011589367474893359]
['TCF7L2' 0.00011585502593518215]
['NAT10' 0.00011585388193385706]
['KIAA0265' 0.00011584188045040462]
['S100A2' 0.00011582501269020327]
['BCL2A1' 0.00011571030443510926]
['GNAI1' 0.00011564901761889758]
['NEK4' 0.00011563635724011359]
['CLEC2B' 0.00011553893980147182]
['CHMP7' 0.00011550172034758108]
['APOBEC3C' 0.00011549917124718741]
['ZNF503' 0.0001154273470273353]
['TBCC' 0.00011542649469246012]
['ABCF3' 0.00011533972934702098]
['C3orf26' 0.00011523908545782032]
['RNF216L' 0.00011523250568595798]
['DPY19L2P3' 0.00011521820481572369]
['TRAPPC2' 0.000115114000935213]
['LOC399818' 0.00011511183638615977]
['SDHA' 0.00011509648745273541]
['PPP1R15B' 0.00011507727739339573]
['RCL1' 0.00011507002532982783]
['OR1C1' 0.00011504300550959812]
['FAM130A2' 0.00011503052838448226]
['DNAJC14' 0.00011498402270794887]
['ANKRD42' 0.00011498278347430306]
['ZNF780B' 0.00011496529389297633]
['SLCO3A1' 0.00011494328278235194]
['HIST1H1T' 0.00011490835400423886]
['RAB2B' 0.00011473210963881312]
['TYMS' 0.00011472447389099374]
['TATDN3' 0.00011444290546873528]
['LYST' 0.00011442371237302129]
['SF3A3' 0.0001143811274278094]
['ENOPH1' 0.0001142783007651807]
['KBTBD2' 0.0001142605698412833]
['CDCA8' 0.00011422758769433066]
['SFRS2B' 0.00011417008030486145]
['OSBPL3' 0.00011389327661647902]
['PIP3-E' 0.00011388026166762785]
['MAP3K3' 0.00011383579932066904]
['AP1S1' 0.00011382849020924532]
['NIPA1' 0.00011381933609292799]
['DLL1' 0.00011375123840372957]
['QKI' 0.0001137351857977734]
['PCOLCE2' 0.0001137099199661847]
['TMEM45B' 0.00011370251438030306]
['TNFAIP8' 0.00011350114349154713]
['POTE15' 0.00011344069284237871]
['TARS2' 0.00011335037215498302]
['SF3A1' 0.00011320570312167709]
['HOXB4' 0.0001131784847888151]
['LOC494150' 0.0001131721857759097]
['ANK3' 0.00011316910963006024]
['HPS4' 0.00011312366382612453]
['NUPL1' 0.00011311030315366587]
['XK' 0.00011304733899471558]
['DDIT3' 0.00011300106760922204]
['MTRF1L' 0.00011293008565483258]
['LYPLAL1' 0.00011292608163980328]
['KRT6B' 0.00011289614054672058]
['INPP4A' 0.00011289496917522164]
['ZNF233' 0.00011287729735924153]
['VASH2' 0.0001128735585103722]
['CR1L' 0.00011270218679071985]
['SLC43A2' 0.00011263716005635208]
['SLC16A9' 0.00011259934190759404]
['TCP11L1' 0.00011259811585696134]
['STK24' 0.00011255007141039315]
['ZNF76' 0.0001125101867196237]
['PDGFA' 0.00011250942763153954]
['ACAD9' 0.00011224298099027878]
['GSTO1' 0.00011216571715899841]
['KIAA1727' 0.00011210348154801488]
['KIAA0907' 0.00011208559129100666]
['PHKA2' 0.00011205687866834196]
['AMPD1' 0.00011204325830166152]
['MTF1' 0.00011202785312161352]
['DSC1' 0.00011202279675919387]
['MESDC2' 0.00011202211439818093]
['BNC2' 0.0001119817628916887]
['FAM70A' 0.00011197830199720198]
['IKBKAP' 0.00011184298546163052]
['PAAF1' 0.00011179644211348392]
['ABCA10' 0.00011168884793242217]
['TRIP13' 0.00011159513816711679]
['SPATA2' 0.00011158947292804231]
['DTNB' 0.00011154815787895768]
['AVPI1' 0.00011154362409058584]
['STK38' 0.00011149680999136321]
['TNFRSF1B' 0.00011146746645477741]
['GLRA3' 0.0001114206866183307]
['SEC61A2' 0.0001112731029081983]
['TMEM16A' 0.0001112301315902976]
['UNC45A' 0.00011111513228009731]
['SCML2' 0.00011109831495736563]
['IGSF11' 0.00011108544530563107]
['PAK2' 0.00011108092815230614]
['PPM1A' 0.00011104140562564032]
['CCHCR1' 0.00011101521386859084]
['EBP' 0.00011093188606884319]
['CTB-1048E9.5' 0.00011092792009954137]
['RGAG4' 0.00011092149062391643]
['ZNRF2' 0.00011090623296703568]
['MT1E' 0.00011079590286462021]
['RIC8A' 0.00011078338417295483]
['DAD1' 0.00011066835249674642]
['S100A8' 0.00011065937881231496]
['DUSP6' 0.00011058019767328916]
['CLCNKB' 0.00011049817873559728]
['SIGLEC10' 0.00011049505092750943]
['CCDC34' 0.00011047582936993985]
['CCDC113' 0.00011045417071411198]
['FAM105B' 0.00011042750260527429]
['C3orf31' 0.00011032211773787631]
['PTPLAD2' 0.00011018572507148686]
['CRISPLD1' 0.00011011767710895685]
['KLHL15' 0.00011011683162777405]
['ACADSB' 0.00011000522353842147]
['YY1AP1' 0.0001099561384359819]
['HIST1H3F' 0.00010986883466891286]
['TM9SF4' 0.00010984894251484611]
['PEO1' 0.00010984532455059197]
['KRTDAP' 0.00010974888693335653]
['SESN2' 0.000109736213765048]
['TFDP1' 0.0001096865450074985]
['KIAA1147' 0.00010965584382109804]
['C4orf29' 0.00010965512898776194]
['HAPLN3' 0.00010962066032076527]
['C20orf117' 0.00010961803967459429]
['S100A12' 0.00010953063731203111]
['ACVR1' 0.0001094530016236591]
['IAH1' 0.00010944877348296064]
['OR7G3' 0.00010942746278788358]
['DLAT' 0.00010940072793826753]
['HCG8' 0.00010939654893536801]
['MAOA' 0.00010935086547807124]
['RPN2' 0.00010915994794073397]
['FOSB' 0.0001091440883785692]
['NFS1' 0.00010911312511751515]
['DDX53' 0.00010906338009260601]
['LMO3' 0.00010889342494512393]
['ZNRD1' 0.00010885248268598373]
['SLCO2A1' 0.00010880732242858283]
['XKR8' 0.00010877101871241228]
['ARHGAP30' 0.00010871184634232514]
['C18orf45' 0.0001087032307633174]
['C11orf40' 0.00010868020840899797]
['C21orf45' 0.0001086536001318948]
['RRAGD' 0.00010859492924301288]
['DNALI1' 0.00010852296415270498]
['ETS2' 0.00010844508812894277]
['DYRK4' 0.00010841645515862905]
['TPP1' 0.0001084035080457655]
['SEMA5A' 0.00010839053405467085]
['SERAC1' 0.00010836794472362253]
['PCAF' 0.00010833575249246528]
['ART4' 0.0001081420468723534]
['MS4A5' 0.00010813499448671317]
['SPINK7' 0.00010811635956239703]
['DLG3' 0.00010791318997623235]
['ALDH5A1' 0.00010789751824879738]
['CDC20' 0.00010780265080736558]
['KIAA1632' 0.0001076680952589818]
['BTN2A3' 0.00010762539238610057]
['PALB2' 0.0001075990319446575]
['C1orf157' 0.00010755519006649857]
['SCPEP1' 0.00010754157753079843]
['ANK2' 0.00010754129666533976]
['RRP1' 0.00010747490716985369]
['DSCR9' 0.0001074580871058984]
['RNF32' 0.0001074339993345073]
['CSF3R' 0.00010742695861292645]
['BRP44L' 0.00010740746892321843]
['OR6V1' 0.00010734481710568104]
['TMEM181' 0.00010730634419854131]
['TMEM9' 0.00010720196619747472]
['RAB38' 0.00010718130751305337]
['BUB1' 0.00010717797979883832]
['C6orf156' 0.0001071652346900867]
['OXSR1' 0.00010705479987111274]
['CPNE5' 0.00010689111008999469]
['PSMA6' 0.00010683997192829122]
['PDCD11' 0.00010677875264852269]
['TMEM16J' 0.00010677279295973855]
['C20orf20' 0.00010666407350595249]
['OR5T2' 0.00010663019034100565]
['SEC24C' 0.00010660543642029817]
['CHGA' 0.00010654793261770373]
['PHACTR1' 0.00010653277547751729]
['PXT1' 0.00010652809061966465]
['TMEM22' 0.00010650041873518127]
['AGXT2L1' 0.00010642758277911849]
['MLLT1' 0.00010634002992664471]
['HYMAI' 0.000106331033489497]
['EBI3' 0.00010632693933563613]
['COX15' 0.0001063153170323298]
['KRTAP1-3' 0.00010627106008332663]
['XPNPEP1' 0.00010616547186041544]
['PRDX6' 0.00010611360429462292]
['PHF1' 0.00010610979559826469]
['C3orf52' 0.0001060656373509955]
['CTNNA1' 0.00010606441171420232]
['C13orf23' 0.00010601095220844954]
['MRPL14' 0.00010599086300679467]
['KHSRP' 0.00010597055563189198]
['DGAT2' 0.00010593968282677863]
['SNX5' 0.0001058479395682677]
['MAN1B1' 0.00010580370725736464]
['LOC642864' 0.00010577309450216833]
['RGMB' 0.00010576248595716736]
['SCO1' 0.00010570171994554434]
['MXI1' 0.00010567790814105603]
['RALA' 0.00010567081212528583]
['CENPM' 0.00010565670154859039]
['FHL1' 0.00010557472023012018]
['B3GNT3' 0.0001055565708855252]
['DNAJA4' 0.00010555453040000723]
['MRPS30' 0.00010554630590845144]
['JMJD2A' 0.00010552951774750421]
['PPP2CB' 0.00010540686713380584]
['C22orf28' 0.00010535452695412253]
['ARMETL1' 0.00010529949142548671]
['MT1B' 0.00010529674632510469]
['CLYBL' 0.00010528364360613307]
['RAB3A' 0.00010527375105073307]
['CDC27' 0.0001052150995427073]
['BASP1' 0.00010510511329711776]
['NHEJ1' 0.00010506771427710058]
['MST150' 0.00010500376474485273]
['HOXC4' 0.00010497750354822288]
['GPR85' 0.00010497122560182887]
