['STX6' 0.0001227699360033731]
['LHX1' 0.00012271773899753008]
['OR6V1' 0.00012264907288332916]
['PPIF' 0.00012254406792781513]
['S100A8' 0.0001225104791701409]
['CTB-1048E9.5' 0.0001224113719073128]
['TMEM45B' 0.00012234707895037334]
['MAOA' 0.00012227304537874468]
['SLC43A2' 0.00012222807192360105]
['IL8' 0.0001222022142433202]
['TRIP13' 0.00012217240715365867]
['SEMA4C' 0.0001220746345216757]
['GGTA1' 0.00012206122571977736]
['RACGAP1P' 0.0001220007230132957]
['AKT2' 0.00012199458297763176]
['DIAPH3' 0.0001218075308442393]
['CLYBL' 0.00012179364946685117]
['BTLA' 0.00012174681808468464]
['NEK4' 0.00012167600743346382]
['MRPS33' 0.0001215767456090499]
['RND3' 0.00012156330952188787]
['DPY19L2P3' 0.00012149820665944866]
['LTBP1' 0.00012138875242584168]
['LSR' 0.00012132213157038234]
['CCDC54' 0.000121242204414866]
['AVPI1' 0.0001212164668751968]
['SNF8' 0.00012121378091152759]
['CLN6' 0.00012119428592644806]
['USP19' 0.00012112105839797993]
['PTPLAD2' 0.00012107771352553452]
['WDR60' 0.00012104216857676249]
['KIAA0406' 0.00012102157950083693]
['LRIG1' 0.00012090157555036247]
['SLC35B2' 0.0001207860640564387]
['C21orf7' 0.00012063881378005176]
['LYZ' 0.0001205481990588242]
['FKBP9' 0.00012053815909820646]
['RPN2' 0.00012051653265855132]
['UBTD2' 0.00012039184810316046]
['EAF1' 0.00012027489513095759]
['PXT1' 0.00012024424267316375]
['KIAA1632' 0.00012021177769752173]
['NR4A2' 0.00012001325922235082]
['SERAC1' 0.00011997349946443417]
['PSAT1' 0.0001199612037058989]
['ZBTB37' 0.00011992435662388883]
['JPH1' 0.00011984772325858417]
['C6orf151' 0.00011981505367361894]
['NAGLU' 0.00011979700297002301]
['C10orf57' 0.00011976809073093512]
['MGAM' 0.00011961067624324368]
['ITSN1' 0.00011909656810375811]
['ANK2' 0.00011904347314998663]
['OPN1SW' 0.0001189413389874822]
['IKBKAP' 0.00011893358343929614]
['TUBGCP2' 0.00011885893603004288]
['DPAGT1' 0.00011885789642409787]
['DDHD2' 0.00011883422854816864]
['TGOLN2' 0.00011879596108212036]
['DUSP10' 0.00011863081773920631]
['USP53' 0.00011859061371509806]
['SLC16A9' 0.00011853150659696543]
['GPR82' 0.00011850438216578361]
['PSRC1' 0.00011836132491385727]
['KDELC2' 0.00011809804452066384]
['NEU3' 0.0001180306858370003]
['STAT4' 0.00011799108498502863]
['PAAF1' 0.0001179850867078343]
['DNAJC14' 0.0001179085390968278]
['COL9A2' 0.00011773581631107277]
['CDC37L1' 0.00011771763150733286]
['ZNF462' 0.00011770949914293611]
['NPTX2' 0.00011751701346370939]
['BRD9' 0.00011736561771852259]
['KATNA1' 0.00011732797453171938]
['GORASP1' 0.00011732649152701348]
['MGC29506' 0.00011729300025875907]
['TAS2R46' 0.00011708671591608616]
['CYP4F11' 0.00011702495355999188]
['EIF4B' 0.00011699984420043427]
['ZNF165' 0.000116870829989062]
['CDCA8' 0.00011687040263306165]
['RAB2B' 0.00011686101748602007]
['NDST2' 0.00011676877147576099]
['PRKAG2' 0.00011656172466919634]
['BHMT' 0.00011655870628193126]
['PCAF' 0.00011653751029986009]
['KRT6B' 0.0001165245976844584]
['TUBE1' 0.00011642242274522675]
['CXorf22' 0.00011640454740085574]
['CLEC4E' 0.00011635952165903502]
['OR10Z1' 0.00011635010457229026]
['COBLL1' 0.00011631065545522859]
['INVS' 0.00011630995483367771]
['ELOVL6' 0.0001162414547610824]
['ZW10' 0.00011620322268980557]
['PALB2' 0.00011615310689844822]
['HNRPLL' 0.00011605885652863042]
['ALKBH6' 0.00011585398965201492]
['DLG3' 0.00011584703280241125]
['MYO1G' 0.00011577894996192462]
['CD48' 0.00011575345512787534]
['ANXA9' 0.00011560341583733458]
['NMT2' 0.00011547211495501897]
['MT1JP' 0.00011537639905454234]
['TMEM16A' 0.00011536179880188474]
['HIPK3' 0.0001152260596714875]
['GDI1' 0.00011518121436075829]
['MGC10981' 0.00011511152199631425]
['C16orf45' 0.00011498734985408616]
['SEC61A2' 0.0001149263528583893]
['TMPRSS3' 0.00011491575000230007]
['SEPT14' 0.00011471455955295996]
['CLCNKB' 0.00011461619062484378]
['BTN2A3' 0.0001145897519784569]
['KSR2' 0.00011457959128552728]
['SF3A3' 0.00011456700371876121]
['MAK' 0.00011452722412351239]
['HOXA7' 0.00011449962177704592]
['EIF3M' 0.0001144837769115955]
['C6orf49' 0.00011440988927682794]
['C20orf20' 0.00011433957484971903]
['FAM27E1' 0.00011427107955270591]
['NAT10' 0.0001142673968431893]
['RIMBP2' 0.00011413778892142906]
['ALDH1A3' 0.00011410031095964044]
['CTNNA1' 0.00011399913835444222]
['ACAD9' 0.00011399519774274272]
['TNRC6A' 0.00011396547049366021]
['CCDC99' 0.00011380930341561408]
['PIK3R4' 0.00011375195771811379]
['GYS1' 0.00011365839363314804]
['SPTY2D1' 0.00011334650938624259]
['PABPC4' 0.00011333819527948989]
['TMEM16J' 0.0001133194312464755]
['GBP7' 0.00011329678036532074]
['LONRF2' 0.00011326182912342726]
['DNAJB9' 0.00011320626620047059]
['ZNF521' 0.00011319395284127604]
['DHX38' 0.00011313237163601745]
['MEIS1' 0.000113048528956664]
['C11orf2' 0.00011276985684253637]
['TNP2' 0.00011269680086500899]
['CMTM4' 0.00011265835978695236]
['FAM70A' 0.0001126524805482631]
['ABCF3' 0.00011263441134179673]
['PDE9A' 0.00011263318501232998]
['MAP3K7IP3' 0.0001125720454526985]
['C17orf65' 0.00011252967602995237]
['RANBP6' 0.00011246608240311568]
['INPP4A' 0.00011245780012914771]
['HOXB3' 0.00011244917238262511]
['LOC554207' 0.0001123513336690887]
['HIVEP2' 0.00011234613349134494]
['FAM20A' 0.00011231997507365538]
['EGR2' 0.00011218761844580122]
['SOSTDC1' 0.00011214742357604423]
['TSR1' 0.00011213927535282339]
['FARP1' 0.00011211110166203865]
['TATDN3' 0.00011207065562525625]
['LRRC39' 0.00011205288673021561]
['POPDC2' 0.00011201464166089021]
['C4BPA' 0.00011194696782130453]
['MRPS30' 0.00011194515718057983]
['MCTP1' 0.00011186931431364568]
['KIAA1147' 0.00011168230148934928]
['NEDD4' 0.0001116382800387318]
['C2orf40' 0.00011159240419550011]
['PPAPDC1A' 0.00011149310391508717]
['SLCO3A1' 0.00011148066833904147]
['SSNA1' 0.00011147825463582128]
['HSPB2' 0.00011147583784318181]
['ZNF8' 0.0001114427004493035]
['LRRC51' 0.00011137135588982438]
['HKR1' 0.00011128318741167198]
['ARFGEF1' 0.00011121842442208362]
['EBI3' 0.00011110642408736821]
['CPNE5' 0.00011105145340442316]
['SMA4' 0.00011101314299198806]
['ZNF585A' 0.00011099036885379505]
['FDX1L' 0.00011095734032192167]
['IMPDH2' 0.00011092557726327837]
['Stage' 0.00011092033293199152]
['BTN2A1' 0.00011081750484389119]
['ASL' 0.00011080526923009505]
['CCL8' 0.00011079851070565109]
['ZNF780B' 0.00011064917209771964]
['PRKAB1' 0.00011064311683493432]
['PURA' 0.0001106146075785637]
['CITED2' 0.0001105699342876239]
['JAK3' 0.00011054201511623339]
['C3orf31' 0.00011049284773115768]
['IAH1' 0.00011048977609639398]
['EHD3' 0.00011039310645005404]
['CSN2' 0.00011036195057761518]
['PHF1' 0.0001103207855346937]
['CTDSPL' 0.00011030851162248013]
['MID1' 0.00011030753101712881]
['GPX1' 0.00011014047340940074]
['KRTDAP' 0.00011011700012281104]
['MID1IP1' 0.00011006192347346332]
['SEMA5A' 0.00010995956557341172]
['WWC3' 0.00010994024275875724]
['TCP11L2' 0.00010992792997570395]
['RGL2' 0.00010977482230004476]
['ZNF586' 0.00010973829173978909]
['PTCH1' 0.00010970825034976204]
['RNF32' 0.00010970028515703986]
