['RAB19' 0.0002781437578778025]
['GJB6' 0.00027754911703818213]
['SNF1LK' 0.00027729214181498483]
['PDLIM4' 0.00027711623147345634]
['STX6' 0.00027578837136462623]
['OR8D2' 0.00027557841125140767]
['SAPS1' 0.0002753747862962224]
['ALOX15' 0.0002751339161957319]
['FAM107B' 0.00027487035353044616]
['GRM3' 0.0002743726857077772]
['PCDHB13' 0.0002741558585404547]
['NXPH4' 0.00027406539080949814]
['NOTCH2NL' 0.0002736768375325127]
['LAPTM4A' 0.0002736188667393611]
['MTNR1A' 0.0002733244806032393]
['MTCH2' 0.00027309950036751333]
['OR5AU1' 0.0002727195456296427]
['FLJ35848' 0.0002723195250184487]
['KIAA1618' 0.0002720703778176239]
['ARHGAP4' 0.00027189402187747825]
['PSKH1' 0.0002717631675808033]
['VPS18' 0.0002713892624213154]
['KIFC3' 0.00027135945824180273]
['LILRA5' 0.00027135121872370416]
['SULT1C4' 0.00027101881563283887]
['KIAA0515' 0.00027092201570333863]
['MTHFSD' 0.00027085413776787285]
['TBCE' 0.00027082604093373464]
['PRL' 0.00027017646698207596]
['KRT75' 0.0002700845712489449]
['ZDHHC3' 0.00026992011858656135]
['HP1BP3' 0.0002695880456671621]
['C4orf29' 0.00026905201495771105]
['ZNF12' 0.0002689015143376918]
['SMAD5' 0.00026835860278000485]
['MYST4' 0.0002674636412680697]
['MMD' 0.00026669004061246097]
['RABGAP1' 0.00026629703872009265]
['INHBB' 0.00026626106948485884]
['SUZ12' 0.00026607605983938715]
['ERCC1' 0.0002660731536619846]
['RFXDC2' 0.0002659118043895935]
['CASP6' 0.00026513659787169564]
['CACNA1C' 0.00026484201767934177]
['CSAG1' 0.000264783649550486]
['MAPKBP1' 0.00026465423762768285]
['PMAIP1' 0.00026444891282617454]
['SMPDL3A' 0.000264217958862509]
['HIVEP2' 0.00026377773991516866]
['LGALS2' 0.0002636419281326217]
['hCG_2001000' 0.0002629042721795433]
['POPDC3' 0.00026262456707737175]
['KRTAP9-3' 0.0002623454414792245]
['MAP2K3' 0.0002620513083664087]
['LAT' 0.0002620356317722658]
['TAF1C' 0.0002612070853934692]
['TECTA' 0.00026072300852715005]
['ZNF131' 0.0002607093447012671]
['FOXC1' 0.00026030497145978625]
['ZIC5' 0.00025994770765014704]
['ATRN' 0.00025956487282851747]
['CPT1C' 0.00025920932418913625]
['CLASP2' 0.0002591014465266682]
['PHPT1' 0.0002589163407594194]
['JUNB' 0.00025868081923013356]
['PELI1' 0.000258474309577361]
['SLC39A11' 0.0002583852088702372]
['ELAVL1' 0.0002582961504564344]
['CD207' 0.0002581809322936239]
['C4orf26' 0.0002580594135041857]
['IER3' 0.00025785291255545545]
['MRPS23' 0.0002565758938266658]
['FAM83G' 0.0002562647966586313]
['ELOVL7' 0.0002560247709183749]
['NKTR' 0.00025586701471385915]
['TRPM7' 0.0002557578827269741]
['NPC1' 0.00025569983813649583]
['LZIC' 0.00025559185541756404]
['AGER' 0.0002550306476840246]
['C1QTNF6' 0.00025496303717473354]
['RBM15B' 0.0002547756298083933]
['GLRA2' 0.0002538537031771951]
['SLC15A4' 0.0002537534151980489]
['FLJ39822' 0.0002537103113244272]
['PLA2G12A' 0.00025339206740768747]
['ARL9' 0.0002528101951593156]
['WNT5A' 0.00025193148119909625]
['OR4A5' 0.0002518968339510586]
['RCHY1' 0.0002518525744353327]
['NR4A1' 0.00025178516411017757]
['ATF7IP2' 0.00025156216973928327]
['ANKRD54' 0.00025115718352786495]
['VHL' 0.0002507610959440412]
['GPR3' 0.00025035217213309333]
['RAC2' 0.0002502805938192983]
['BMP2K' 0.0002502102904265642]
['CCIN' 0.000249974147729136]
['SSB' 0.00024972993599349107]
['OR52B4' 0.0002492557480698412]
['DAPK1' 0.00024865876642506996]
['DBN1' 0.00024856111979418267]
['KIAA0649' 0.0002485468658144365]
['LAMA3' 0.00024844180314207565]
['NAPB' 0.0002483313469183522]
['CST4' 0.00024821664847652134]
['OR5B17' 0.0002480287230680287]
['KIAA1919' 0.0002479376964027209]
['SPIRE1' 0.0002478785366155794]
['SLC25A13' 0.00024785406602958056]
['MAP2K6' 0.0002475869487468019]
['ADAMTSL3' 0.0002474793390945724]
['COL5A3' 0.0002472786572575526]
['PALLD' 0.000246568175180444]
['LSDP5' 0.0002465309670095336]
['PHF1' 0.0002461946970614044]
['TIPRL' 0.00024607547134751896]
['TAS2R38' 0.00024591261673734277]
['P4HA1' 0.0002454337700392449]
['ITGB8' 0.00024542516144711085]
['CACNG7' 0.0002452949802566373]
['HVCN1' 0.0002445357744620827]
['TBL2' 0.000244081124588774]
['TCF7L1' 0.00024392185136449425]
['LOC653391' 0.00024384561797377498]
['C16orf46' 0.0002437984819231917]
['AQP6' 0.00024368781254607011]
['COQ2' 0.00024357402349374372]
['OGFR' 0.00024339306394857512]
