['LY6E' 0.00012954096012734973]
['SPTLC1' 0.00012952369417170453]
['C8orf34' 0.0001294974402645497]
['CTSA' 0.00012947800350076772]
['DHRS2' 0.00012947039508601004]
['EMP1' 0.0001294590640189252]
['NDN' 0.00012943167143294153]
['OR6B1' 0.00012930990712262217]
['ANKAR' 0.00012924054211232818]
['ASH2L' 0.00012910568318728153]
['PHF11' 0.0001290045288176331]
['KLC1' 0.00012892328609181853]
['ZNF234' 0.00012885602165121142]
['KLRF1' 0.00012883412635337043]
['ANK2' 0.0001287528621252783]
['WDSUB1' 0.00012873671305152124]
['AR' 0.00012870715721225346]
['LOC116349' 0.00012864955659401512]
['OR56B1' 0.00012848317668762865]
['LEP' 0.00012843289537847245]
['ZNF550' 0.00012841542338543768]
['BRE' 0.00012840475367967776]
['PDE8B' 0.00012837982218644883]
['PTPRO' 0.00012830712190116806]
['OGN' 0.00012818343490472327]
['RNF128' 0.00012808449074379864]
['GSTM2' 0.00012807142159284126]
['TARS2' 0.0001279471565941389]
['PLEK' 0.00012767936462245783]
['TMEM181' 0.00012766936407265683]
['SYK' 0.00012758071659642962]
['ADAM28' 0.00012757751521302215]
['SIKE' 0.00012737755786690092]
['MYEOV2' 0.00012733305775958459]
['DUSP1' 0.00012730144118399983]
['BPGM' 0.00012728821658226474]
['ASS1' 0.00012727802262868163]
['LTBP2' 0.00012723704898825084]
['CKB' 0.00012720217999772843]
['AP3S1' 0.0001271670148297381]
['DDX19B' 0.0001271563407582036]
['SOX9' 0.00012709255096040171]
['TNFRSF10B' 0.00012706593195529223]
['C14orf108' 0.00012704098373853026]
['SLC35A4' 0.00012702508051072676]
['PTH2R' 0.0001269811509875841]
['CYP4F2' 0.00012697860145385]
['ZNF533' 0.000126917692305094]
['PNMA2' 0.0001268814439200954]
['DYRK4' 0.00012685330978907597]
['TXNL4B' 0.00012674390079816633]
['GSTM1' 0.00012672435690071895]
['CBR1' 0.00012671283068354]
['KIAA0157' 0.00012668991683949834]
['PCDH18' 0.00012662277435126186]
['LOXL1' 0.00012661438036779877]
['ST3GAL1' 0.0001264149112048901]
['RAB11FIP1' 0.00012634880187836745]
['NPL' 0.00012631678005905935]
['PCDHGC5' 0.00012627107849094092]
['SEC14L1' 0.00012618178982800698]
['RP4-692D3.1' 0.00012617262243700634]
['PI4K2B' 0.00012616214512711476]
['ZNF430' 0.0001261474668362665]
['ACSL1' 0.00012606598784115417]
['CPS1' 0.00012594827321002225]
['UHMK1' 0.00012594709689760025]
['SYF2' 0.00012589450879295797]
['SLC40A1' 0.00012587739796606298]
['SPP1' 0.00012578283408055008]
['LOC402057' 0.0001257642989397893]
['IFT57' 0.00012567097043524356]
['AAK1' 0.00012565874200138526]
['CLPP' 0.00012552857505110878]
['LOC728215' 0.00012552491578957426]
['BOC' 0.00012551977872666002]
['DDX55' 0.00012548512293595332]
['LRSAM1' 0.00012545526544580134]
['HSPA2' 0.00012545362209997386]
['TLR2' 0.0001253446659006569]
['FAM40A' 0.00012534102608377273]
['SON' 0.0001253261671479108]
['STX12' 0.0001253195492585598]
['MOBKL2A' 0.00012531421725551099]
['HERC5' 0.00012524391829147423]
['KCMF1' 0.00012523099651171466]
['STARD6' 0.00012521620581992267]
['IGF2BP2' 0.0001251877449749383]
['PCOLCE2' 0.00012518333201562486]
['JMJD2D' 0.00012509948810222784]
['SMAD2' 0.00012507883006826736]
['CCND1' 0.00012479514390866572]
['HIPK3' 0.0001246730435370344]
['WFDC8' 0.00012466930349605516]
['ITGA2' 0.00012461244103789045]
['CD97' 0.00012455243396788409]
['SOCS3' 0.0001245333319716713]
['CYLC2' 0.00012446917096745852]
['RPS6KA3' 0.00012446442343549543]
['SUHW1' 0.00012441804262842602]
['SPRYD3' 0.00012440040012027593]
['EGR2' 0.00012428957908658462]
['IRS2' 0.0001242862459992336]
['GULP1' 0.00012428464573337436]
['ZNF398' 0.0001242639208973171]
['PRCP' 0.00012419812907216824]
['AGMAT' 0.00012419098289526208]
['C10orf11' 0.00012415543611789276]
['OPN1SW' 0.0001241046046888268]
['TSPAN3' 0.00012399181266935938]
['SLC1A5' 0.0001238675545550844]
['KIAA1530' 0.0001238002428399537]
['CHCHD6' 0.0001236843412025823]
['SPIC' 0.00012366834259097437]
['IL12A' 0.00012359471803451594]
['TPD52L1' 0.00012355508428091395]
['SPAG1' 0.00012354397112531698]
['TOM1L2' 0.00012345016408815918]
['SPCS1' 0.00012342831505519984]
['PDZRN3' 0.00012341241772188518]
['CDK8' 0.00012339117418658067]
['RBBP7' 0.00012339081133258382]
['HMG1L1' 0.0001233858995124979]
['HCLS1' 0.00012336815950332277]
['LRRC1' 0.00012336553885980919]
['MOBKL1A' 0.00012323898857927027]
['AQP4' 0.00012319937321950174]
['EIF1' 0.00012319697061628432]
['ICA1L' 0.00012311373076111744]
['GNAL' 0.00012297496627555586]
['OR7E24' 0.00012292825207715967]
['LSAMP' 0.00012284911349166172]
['IFT74' 0.00012283513359222426]
['STK38L' 0.0001228058368130995]
['RPL23AP13' 0.00012277459413092363]
['TBC1D23' 0.00012270835785203722]
['TMEPAI' 0.00012269481643661503]
['POPDC2' 0.0001226816682069859]
['FLG' 0.00012264410244004374]
['LMTK2' 0.00012263828290904393]
['TNFRSF10D' 0.00012257176645499667]
['ANKRD13A' 0.00012250307710590558]
['SPATA6' 0.00012249363017172336]
['AARSD1' 0.00012248510280103996]
['LGALS3' 0.00012245580537578081]
['TUBGCP5' 0.00012244651555330639]
['HESX1' 0.00012242179921656465]
['NPR3' 0.0001224118480357256]
['ARMETL1' 0.0001224006254254213]
['GABRB2' 0.00012234725283332014]
['ZDHHC16' 0.00012230335952516475]
['IMMT' 0.000122274515972924]
['NEU1' 0.00012219585250587434]
['RUFY3' 0.00012217516635763457]
['LOC643406' 0.0001221616327170687]
['GPR109A' 0.00012210425674534923]
['SURF1' 0.00012206854726616866]
['PDSS2' 0.00012199522549252308]
['GIPC1' 0.00012198518170694127]
['FAM26E' 0.00012192299917269683]
['ATP5A1' 0.00012190948581609112]
['LRRC8B' 0.00012188425171869026]
['MAPRE1' 0.00012187156990109178]
['SP3' 0.00012185198696345798]
['TPBG' 0.00012184628222965964]
['KIAA1919' 0.00012183644517408521]
['SDF2' 0.0001218248579569839]
['DUS4L' 0.00012178653824877903]
['C9orf127' 0.00012177899498888699]
['CPT1A' 0.00012176728094296346]
['SF4' 0.00012175200840528125]
['TOB2' 0.00012169497080554044]
['EGR1' 0.00012166782205883675]
['MRC2' 0.00012166246615408567]
['NDUFC2' 0.00012166208509134281]
['JAKMIP2' 0.00012160130913658217]
['ATP8B1' 0.00012153607033587772]
['ACBD6' 0.00012145264874635595]
['PKIB' 0.00012141349056600272]
['UCRC' 0.00012136046558217666]
['ZNF527' 0.00012134165272927893]
['SMCR7L' 0.00012133936738063161]
['SPON2' 0.00012132352006937833]
['C6orf21' 0.00012130838862496837]
['FYB' 0.00012128974444550627]
['AZGP1' 0.0001212403260911059]
['ACOX3' 0.00012122466539870019]
['NCF2' 0.0001211991129659665]
['POGZ' 0.00012118280547484072]
['DTNB' 0.00012116219838290364]
['CYP4F12' 0.00012115972435332668]
['BRP44' 0.00012115170106155333]
['INOC1' 0.00012114697510850552]
['KIAA1244' 0.00012112091322534466]
['AHNAK2' 0.00012111129212367428]
['NME3' 0.00012106429866292061]
['S100G' 0.00012103664210194838]
['LMCD1' 0.00012099186188576543]
['ZNF200' 0.00012098226338043428]
['FAM44B' 0.00012097079389929596]
['DZIP1L' 0.00012093914877164023]
['SURF6' 0.00012093644511024487]
['TMEM154' 0.00012093079725024745]
['MXRA8' 0.00012085650813565468]
['GPR108' 0.00012082644514393834]
['NMNAT3' 0.00012081639261337309]
['DDX11' 0.00012077986489540466]
['C15orf15' 0.00012076466770859535]
['ACTL8' 0.0001206134487080459]
['ZNF582' 0.0001205486996178041]
['ANXA7' 0.00012053614426210476]
['TM6SF1' 0.00012053198973719002]
['PLEKHH2' 0.0001205297608590363]
['YEATS2' 0.00012043650092737504]
['AADAC' 0.0001203997060130896]
['SULT1C4' 0.00012029583694730844]
['ZNF331' 0.0001202102206375425]
['SPG20' 0.00012020624362050774]
['ZNF626' 0.0001202044022363747]
['MANBA' 0.00012014495325351494]
['KLHL18' 0.00012014389937203975]
['NELL2' 0.00012004744325797442]
['TMEM64' 0.00012002549612770912]
['PTPRR' 0.00011995960141136466]
['LY6G5B' 0.00011992446500129769]
['TBX2' 0.0001199075824147499]
['PCGF6' 0.00011986166157988834]
