['Treatment' 0.047790195664771024]
['OR6N1' 0.0004610289991195063]
['PTK6' 0.0004607169142178918]
['POLR3B' 0.0004592607552020608]
['ST3GAL6' 0.00045916191671732144]
['NLRP11' 0.00045868905862066553]
['ARIH2' 0.00045839709884004225]
['PRKAG2' 0.0004576952782640638]
['ACYP1' 0.0004572361878403321]
['RFX5' 0.00045406190739698114]
['EPHX2' 0.00045402822994961044]
['GSDML' 0.0004531506339910441]
['EGLN1' 0.0004527922443031744]
['IRAK3' 0.0004515771105305851]
['TANC1' 0.0004502356071695527]
['HDHD1A' 0.00045023209976819653]
['TMEM151' 0.0004502319594905064]
['C19orf58' 0.0004499162595188321]
['ACTR3B' 0.00044858041879704096]
['INA' 0.0004478094393549827]
['ARFGEF1' 0.0004468534563640126]
['C12orf54' 0.00044503935979329855]
['RP4-691N24.1' 0.0004405549997843806]
['SLC25A19' 0.0004402115460295423]
['C5orf29' 0.00043998051628349786]
['CHAF1A' 0.000438252747700909]
['TAS2R40' 0.00043822944746340833]
['GML' 0.00043809539625220065]
['CST11' 0.00043698611401911115]
['KTN1' 0.0004357139098562253]
['LYG1' 0.0004347265039965626]
['CYP2A6' 0.0004344418184845326]
['CDH2' 0.0004344154597160505]
['KCNJ9' 0.0004321799138273804]
['PGPEP1' 0.00043206421632575225]
['CCDC18' 0.0004311517578449756]
['PTGER2' 0.0004291603298555296]
['NXPH1' 0.0004290671146161857]
['CSRP1' 0.0004256848697287232]
['ATP13A2' 0.00042564891394198355]
['MTA2' 0.0004238811244203349]
['KIAA1704' 0.0004237872785615695]
['FAM18B' 0.0004235863846869672]
['MIB1' 0.0004223866472108529]
['LCK' 0.00042212995664221427]
['PRM2' 0.00042209570405684656]
['HIP2' 0.0004219886802690719]
['PAX6' 0.0004219639406740916]
['DPP7' 0.00042068386222259696]
['IER2' 0.0004202113789108419]
['UBL4B' 0.00041995270595090154]
['DDN' 0.00041977222776273896]
['SLC24A3' 0.00041500869686434587]
['EIF1AX' 0.00041494361450684594]
['FAM14B' 0.0004139496058229124]
['SMYD5' 0.0004127751221417745]
['AGPAT6' 0.00041107130815598537]
['MDFIC' 0.00041064279971687835]
['ATPAF2' 0.0004026739730413291]
['ATP6V0A2' 0.0004021207011542868]
['GATAD2A' 0.0004010174671113124]
['FAM127A' 0.00040051709114762577]
['OR4S1' 0.00039952355503847757]
['PSORS1C1' 0.0003983189489763992]
['NEUROD2' 0.00039735547807650986]
['DKFZp434K1815' 0.0003960421240201669]
['FAM127B' 0.00039574104800637575]
['CXorf39' 0.0003950556528639519]
['GABRE' 0.00039490419043853903]
['SCYL1' 0.0003932071834965548]
['SYTL2' 0.00039316174157885757]
['TRPC5' 0.00039308159650041356]
['PIK3IP1' 0.00039274128939114185]
['SPINK2' 0.000391356675415728]
['BLZF1' 0.00039064025695342906]
['SNX6' 0.00038750491022999044]
['ZNF701' 0.00038622043717771227]
['SFRS16' 0.0003859328291906373]
['TNF' 0.000385702015234557]
['VSIG1' 0.0003851088910532574]
['SIKE' 0.0003840375602803548]
['ALDH5A1' 0.0003825508690752387]
['HIST1H2BG' 0.0003823137490264811]
['PTPN14' 0.00038113296376753156]
['FAM83D' 0.00038028410552463985]
['MED18' 0.00038027545417964985]
['BRD7' 0.00038014831177125965]
['DKFZP564J0863' 0.00037979473431830937]
['DYNLL1' 0.0003758787270370992]
['ADIPOQ' 0.0003738212553434813]
['THOC5' 0.0003730843448555092]
['RFPL1' 0.00037212444421269906]
['BRE' 0.0003718468143804813]
['PAIP1' 0.0003715043828047164]
['MARS2' 0.000369444588165301]
['TTC7B' 0.0003688314684220486]
['SH3PXD2B' 0.00036677332900521276]
['CENTB1' 0.0003662916126253836]
['SFT2D3' 0.00036556359887791325]
['C16orf70' 0.0003647623743415453]
['SLC35E3' 0.0003647350558073418]
['GPAM' 0.00036309042474005947]
['GRK6' 0.0003626509230468855]
['TTC21A' 0.00036230419977275957]
['ZNF559' 0.0003601852995989441]
['PARS2' 0.0003596953360616892]
['IL6' 0.0003595665911289983]
['SLC25A34' 0.000358452385723234]
['KLRG2' 0.00035798988783351674]
['KCTD5' 0.0003555098445075401]
['TCF3' 0.0003533447673566847]
['OR1B1' 0.00035310841475549734]
['PPP1R1A' 0.00035284916547696917]
['STX4' 0.0003515431099851299]
['SFRS11' 0.0003501491996538098]
['ACAT1' 0.0003501226104778873]
['CRABP2' 0.0003496539167402165]
['CD200' 0.0003487507000366765]
['IL28A' 0.00034694061243059876]
['CDKN2C' 0.0003468566951959165]
['SLC25A31' 0.0003457980799970995]
['HIST3H2A' 0.00034574244210410345]
